anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Taishou Otome Otogibanashi,6.43,2022,1,6,2021,7.79,https://myanimelist.net/anime/45055/Taishou_Otome_Otogibanashi?q=taishou%20otome%20n&cat=anime
Tanaka-kun is Always Listless,6.43,2022,1,4,2016,7.82,https://myanimelist.net/anime/32093/Tanaka-kun_wa_Itsumo_Kedaruge
Eve no Jikan,6.40,2023,1,6,2008,8.00,https://myanimelist.net/anime/3167/Eve_no_Jikan
Summer Wars,6.40,2021,1,4,2009,8.02,https://myanimelist.net/anime/5681/Summer_Wars?q=summer%20wras&cat=anime
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,6.38,2020,1,6,2017,7.67,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_Desu_ka_Sukutte_Moratte_Ii_Desu_ka
My Little Monster,6.38,2019,1,4,2012,7.47,https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun
Tokyo Revengers,6.36,2021,1,3,2021,7.94,https://myanimelist.net/anime/42249/Tokyo_Revengers
Recovery of an MMO Junkie,6.35,2020,1,5,2017,7.54,https://myanimelist.net/anime/36038/Net-juu_no_Susume
Iroduku: The World in Colors,6.35,2020,1,5,2018,7.52,https://myanimelist.net/anime/37497/Irozuku_Sekai_no_Ashita_kara
Tada Never Falls in Love,6.34,2020,1,5,2018,7.57,https://myanimelist.net/anime/36470/Tada-kun_wa_Koi_wo_Shinai
Summer Ghost,6.33,2022,1,7,2021,7.89,https://myanimelist.net/anime/48171/Summer_Ghost
The Eminence in Shadow *,6.32,2023,1,6,2022,8.30,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute
Uramichi Oniisan,6.31,2021,1,6,2021,7.70,https://myanimelist.net/anime/40620/Uramichi_Oniisan
Cautious Hero,6.30,2020,1,4,2019,7.48,https://myanimelist.net/anime/38659/Shinchou_Yuusha__Kono_Yuusha_ga_Ore_Tsueee_Kuse_ni_Shinchou_Sugiru
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",6.28,2022,1,5,2015,7.68,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
"Fuufu Ijou, Koibito Miman.",6.26,2022,1,4,2022,7.59,https://myanimelist.net/anime/50425/Fuufu_Ijou_Koibito_Miman
Kumichou Musume to Sewagakari,6.24,2022,1,5,2022,7.76,https://myanimelist.net/anime/49776/Kumichou_Musume_to_Sewagakari
Senryuu Shoujo,6.23,2019,1,5,2019,7.37,https://myanimelist.net/anime/38787/Senryuu_Shoujo
Plastic Memories,6.21,2022,1,4,2015,7.91,https://myanimelist.net/anime/27775/Plastic_Memories
Heike Monogatari,6.20,2022,1,8,2021,7.78,https://myanimelist.net/anime/49738/Heike_Monogatari
Kabaneri of the Iron Fortress,6.19,2021,1,4,2016,7.27,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri
Yamada-kun to Lv999 no Koi wo Suru,6.18,2023,1,4,2023,7.82,https://myanimelist.net/anime/53126/Yamada-kun_to_Lv999_no_Koi_wo_Suru
